"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Contract ID","Agency Contract ID","Contract Status","Contracting Agency ID","Contract Number (PIID)","IDV PIID","IDV Agency ID","Solicitation ID (Agency)","Modular Approaches / Contracting","EVM Required","Match found in USAspending","Vendor Name (USAspending)","Solicitation ID (USAspending)","Action Obligation Amount (In $ million) (USAspending)","Type of Contract (USAspending)","Performance Based Contract (USAspending)","Contract Start Date (USAspending)","Contract End Date (USAspending)","Contract Compete (USAspending)","Contract Description (USAspending)","Base Contract ID (USAspending)","Identifying Agency ID (USAspending)","Transaction Number (USAspending)","Timestamp (Contract)","Timestamp (Base Contract)"
024-999994100,166,"	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",48443,46145,Awarded,"	7022",HSHQDC12A00022,HSFE3013J0163,"	7022",,yes,no,No,,,,,,,,,,,,,"2015-09-17 11:44:34",
024-999994100,166,"	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",50369,67072,Awarded,"	7022","HSFE30-15-P-0376; HSFE3013P0255",HSFE30-15-P-0376,"	7022",HSFE30-15-P-0376,yes,no,No,,,,,,,,,,,,,"2016-03-29 11:18:05",
024-999994100,166,"	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",50370,67073,Awarded,"	7022",HSHQDC13D00025,BPA,"	7022",HSHQDC13D00025,yes,no,No,,,,,,,,,,,,,"2016-02-29 17:38:26",
024-999994100,166,"	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",50371,67075,Awarded,"	7022",HSFE30-13-X-0171,HSFE30-13-X-0171,"	7022",,yes,no,No,,,,,,,,,,,,,"2016-02-29 17:38:26",
024-999994100,166,"	024","Department of Homeland Security","FEMA - Disaster Assistance Improvement Plan (DAIP)",50372,67076,Awarded,"	7022",HSFEHQ10D0388,HSFEHQ10D0388,"	7022",HSFEHQ10D0388,yes,no,No,,,,,,,,,,,,,"2016-02-29 17:38:26",
024-000007001,167,"	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",19887,137734,Awarded,"	7022",HSFEHQ08J2009,HSHQDC06D00019,"	7001",N/A,yes,yes,Yes,"INTERNATIONAL BUSINESS MACHINES CORPORATION",,488.988305,,,,2016-12-14,,,,,,"2016-05-26 19:21:46",
024-000007001,167,"	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",39989,226605,Awarded,"	7022",HSFE50-13-F-0292,gs35f0048y,"	4732",N/A,yes,no,Yes,"RITENET CORP.",,6.398582,,,,2017-09-29,,,,,,"2016-08-29 21:27:07",
024-000007001,167,"	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",45963,237269,Awarded,"	7022",HSFE50-14-J-0374,HSFE5012D0245,"	7022",N/A,yes,yes,Yes,"CACI ENTERPRISE SOLUTIONS, INC",,1.527012,,,,2016-09-29,,,,,,"2016-08-29 21:27:07",
024-000007001,167,"	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",45965,237268,Awarded,"	7022",HSFE50-14-J-0356,HSFE5012D0244,"	7022",N/A,yes,yes,Yes,"ARC ASPICIO LLC",,2.362086,,,,2016-09-14,,,,,,"2016-08-29 21:27:07",
024-000007001,167,"	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)",49534,64019,Awarded,"	7022",HSFE50-15-D-0291,,,,no,no,Yes,"CACI-ISS, INC.",,1.024173,,,,,,,,,,"2016-07-27 11:10:08",
024-000007333,168,"	024","Department of Homeland Security","FEMA - Logistics Systems (LSCMS)",45437,230385,Awarded,"	7022",HSFE7014C0101,,,HSFE70-14-R-0032,no,no,Yes,"GALVAN AND ASSOCIATES, LLC",,3.999302,,,,2016-08-30,,,,,,"2015-09-17 11:45:05",
024-000007333,168,"	024","Department of Homeland Security","FEMA - Logistics Systems (LSCMS)",48444,230636,Awarded,"	7022",HSFE30-15-J-0198,,,HSFE30-15-R-011,no,no,No,,,,,,,,,,,,,"2015-09-17 11:45:05",
024-000005628,170,"	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)",25043,188452,Awarded,"	7013",HSTS02-12-C-TTC431,,,,no,no,Yes,"OFFSPRING SOLUTIONS LLC",,2.312845,,,,2016-05-31,,,,,,"2016-08-29 21:18:28",
024-000005628,170,"	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)",48450,43681,Awarded,"	7013",HSTS02-15-F-OIA137,HSTS02-15-A-OIA033,"	7013",,no,no,Yes,"IDENTIFICATION TECHNOLOGY PARTNERS INCORPORATED",,3.100016,,,,2017-01-12,,,,,,"2016-05-27 11:36:12",
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",22986,181461,Awarded,"	7013",HSTS0311JCT4544,HSTS0311DCIO556,"	7013",,no,no,Yes,"KNOWLEDGE CONSULTING GROUP, INC.",,2.234804,"Time and Materials",N,2011-09-02,2016-09-01,N,"ISSO TASK ORDER",223456,"	7013","	0","2016-01-29 16:31:39","2016-01-30 10:06:01"
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",37103,221822,Awarded,"	7013",HSTS0414JCT2507,HSTS0410DCT2003,"	7013",,no,no,No,,,,,,,,,,,,,"2016-04-27 11:39:26",
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",40931,229041,Awarded,"	7013",HSTS0414JCT8513,HSTS0414ACT8505,"	7013",,no,no,Yes,"DELOITTE CONSULTING LLP",,6.723910,,,,2017-05-19,,,,,,"2016-01-29 16:31:39",
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",45299,235490,Awarded,"	7013",HSTS0414JCT2505,HSTS0412DCT1200,"	7013",,no,no,Yes,"L-3 COMMUNICATIONS CORPORATION",,1.553025,,N,2014-09-25,2016-08-17,N,"DELIVERY ORDER 38 WILL ACQUIRE THE SERVICES NECESSARY TO COMPLETE THE DEVELOPMENT, INTEGRATION AND TESTING OF THE SECURITY TECHNOLOGY INTEGRATED PROGRAM (STIP) SOFTWARE FOR THE EXAMINER 6700 AND 6700-ES.",223460,"	7013","	0","2016-01-29 16:31:39","2016-01-30 10:08:24"
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",45301,235493,Awarded,"	7013",HSTS0314JCT2503,HSHQDC13D00023,"	7013",,no,no,Yes,"GOVERNMENT ACQUISITIONS, INC.",,0.402050,"Firm Fixed Price",N,2014-09-29,2019-09-28,N,"PORT CONFIGURATION AND SECURITY MANAGEMENT CAPIBILITY FOR TRANSPORTATION SECURITY EQUIPMENT.",223461,"	7013","	0","2016-01-29 16:31:39","2016-01-30 10:08:48"
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",45303,235491,Awarded,"	7013",HSTS0314JCT2517,HSTS0313ACIO547,"	7013",,no,no,Yes,"CGI FEDERAL INCORPORATED",,2.319790,"Labor Hours",N,2014-10-01,2016-09-30,N,"IGF::CT::IGF SERVICE MANAGEMENT APPLICATION (SMA)",223462,"	7013","	0","2016-01-29 16:31:39","2016-01-30 10:09:13"
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",48446,44126,Awarded,"	7013",HSTS0415PCT2507,,,,no,no,Yes,"PTC INC.",HSTS0415QCT2507,0.474264,,N,2015-07-16,2016-06-27,N,"AXEDA HSTS04-13-C-CT2516 THE PURPOSE OF THIS PR IS TO PROVIDE AXEDA SOFTWARE LICENSES IN SUPPORT OF STIP. POP THROUGH: 7/6/2016",223464,"	7013","	0","2015-11-20 16:52:58","2016-01-30 10:10:38"
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",49536,58250,Awarded,"	7013",HSTS0415JCT2530,HSHQDC13DE2090,"	7001",,no,no,Yes,"COMPUTER SCIENCES CORPORATION",,3.507493,,,,2017-06-25,,,,,,"2016-08-29 21:17:43",
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",49888,65900,Awarded,"	7013",HSTS0415JCT2527,HSTS0414ACT2501,"	7013",,no,no,Yes,"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC.",,1.470014,,,,2017-02-11,,,,,,"2016-08-29 21:17:43",
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",49889,65901,Awarded,"	7013",HSTS0415JCT7014,HSTS0414ACT2501,"	7013",,no,no,Yes,"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC.",,3.741864,,,,2016-09-02,,,,,,"2016-08-29 21:17:43",
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",49890,65902,Awarded,"	7013",HSTS0416JCT2503,HSTS0414ACT2501,"	7013",,no,no,Yes,"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC.",,5.763481,,N,2016-01-01,2016-12-31,N,"IGF::OT::IGF BPA CALL #5: SECURITY TECHNOLOGY INTEGRATED PROGRAM (STIP) DEVELOPMENT, OPERATIONS&MAINTENANCE, TESTING SUPPORT.",225020,"	7013","	0","2016-01-29 16:31:39","2016-02-05 04:28:09"
024-000005624,171,"	024","Department of Homeland Security","TSA - Security Technology Integrated Program (STIP)",51025,71337,Awarded,"	7013",HSTS0316JCIO032,,,,no,no,No,,,,,,,,,,,,,"2016-08-29 21:17:43",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",31897,207717,Awarded,"	7013",HSTS0313JCIO030,HSHQDC11A00040,"	7001",,no,no,Yes,ESCGOV,,45.418938,,,,2018-03-31,,,,,,"2015-11-20 16:53:02",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",36381,221528,Awarded,"	7013",HSTS0213FPHY006,GS07F0256L,"	4730",,no,no,Yes,"OMNIPLEX WORLD SERVICES CORPOR",,20.506110,,,,2015-11-09,,,,,,"2016-07-27 11:09:16",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",43663,235172,Awarded,"	7013",HSTS0314JOIA293,HSTS0313ACIO549,"	7013",,no,no,Yes,"INTERNATIONAL BUSINESS MACHINE",,33.886548,,,,2016-08-19,,,,,,"2015-12-24 11:21:24",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",45281,227547,Awarded,"	7013",HSTS0214JOIA072,HSCG2312DATB014,"	7008",,no,no,Yes,"SEV1TECH INC",,10.031335,,,,2017-11-16,,,,,,"2015-11-20 16:53:02",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",45801,236817,Awarded,"	7013",HSTS0314JCIO110,HSHQDC13D00014,"	7001",,no,no,Yes,"WILDFLOWER INTERNATIONAL, LTD.",,1.060599,,,,2017-03-31,,,,,,"2015-12-24 11:21:24",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",45973,237671,Awarded,"	7013",HSTS0215JOIA008,HSCG2312DATB007,"	7008",,no,no,Yes,"PANUM TELECOM LLC",,1.529837,,,,2018-08-29,,,,,,"2016-02-25 12:25:12",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",45975,236818,Awarded,"	7013",HSTS0215JOIA011,HSCG2312DATB020,"	7008",,no,no,Yes,"E3 FEDERAL SOLUTIONS, LLC",,1.390821,,,,2018-09-16,,,,,,"2015-10-27 11:23:25",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",48459,238849,Awarded,"	7013",HSTS0215JOIA003,HSHQDC13DE2002,"	7001",HSTS0215QOIA003,no,no,Yes,"DYNAMIC SECURITY CONCEPTS INCORPORATED",,1.107936,,,,2020-08-31,,,,,,"2016-05-25 11:21:46",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",48460,238360,Awarded,"	7013",HSTS0215COIA052,,,,no,no,Yes,"INFOGLIDE SOFTWARE CORPORATION",,2.071017,,,,2019-11-03,,,,,,"2016-05-25 11:21:46",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",48463,238848,Awarded,"	7013",HSTS0315JCIO656,HSHQDC13DE2090,"	7001",,no,no,Yes,"COMPUTER SCIENCES CORPORATION",,147.173536,,,,2017-06-25,,,,,,"2016-07-27 11:09:16",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",49462,60304,Awarded,"	7013",HSTS05-15-F-OIA185,LC147121,"	0300",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:00",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",49463,60305,Awarded,"	7013",HSTS02-15-J-OIA183,HSHQDC-13-D-00025,"	7001",,no,no,Yes,"SNAP, INC.",,0.965579,,,,2015-10-18,,,,,,"2015-11-20 16:53:02",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",49465,60307,Awarded,"	7013",HSTS03-15-J-CIO069,HSHQDC13D00003,"	7001",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:00",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",49466,60308,Awarded,"	7013",HSTS02-15-J-OIA484,HSHQDC-13-D-0010,"	7001",,no,no,No,,,,,,,,,,,,,"2015-12-24 11:21:24",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",50708,67671,Awarded,"	7013",HSTS02-15-J-OIA177,HSTS0215DOIA049,"	7013",,no,no,No,,,,,,,,,,,,,"2016-05-25 11:21:46",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",50709,67672,Awarded,"	7013",HSTS0216JOIA117,HSTS0215DOIA049,"	7013",,no,no,No,,,,,,,,,,,,,"2016-04-28 11:27:20",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",50777,68389,Awarded,"	7013",HSTS02-16-J-OIA116,HSTS02-15-D-OIA049,"	7013",,no,no,No,,,,,,,,,,,,,"2016-05-25 11:21:46",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",50912,68962,Awarded,"	7013",HSTS03-16-J-CIO052,HSHQDC-11-A-00041,"	7001",,no,no,No,,,,,,,,,,,,,"2016-06-28 20:28:23",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",51027,75715,Awarded,"	7013",HSTS02-16-J-OIA156,HSHQDC-12-D-00013,"	7001",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:00",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",51028,75716,Awarded,"	7013",HSTS02-16-J-OIA118,HSHQDC-12-D-00012,"	7001",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:00",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",51029,75721,Awarded,"	7013",HSTS0216JOIA170,HSHQDC14D00006,"	7001",HSTS0216QOIA170,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:00",
024-000005605,172,"	024","Department of Homeland Security","TSA - Secure Flight",51030,75722,Awarded,"	7013",HSTS0316JOIA184,HSTS0313ACIO549,"	7013",PROIA184,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:00",
024-000005664,173,"	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program",37493,222697,Awarded,"	7013",HSTS0213JOIA324,HSTS0212DTTC221,"	7001",HSTS0211RTTC206,yes,yes,Yes,"ACCENTURE FEDERAL SERVICES LLC",,16.450000,,,,2017-02-28,,,,,,"2016-08-29 21:27:20",
024-000005664,173,"	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program",49468,60495,Awarded,"	7013",HSTS02-15-F-OIA360,GS00Q14OADS128,"	7001",HSTS02-15-R-OIA360,no,no,Yes,"MIRACLE SYSTEMS LLC",,0.909949,,,,2018-09-30,,,,,,"2016-08-29 21:27:20",
024-000005664,173,"	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program",49827,64780,Awarded,"	7013",HSTS0215COIA443,,,HSTS0215ROIA443,no,no,Yes,"MOSS CAPE LLC",,2.701133,,,,2020-11-24,,,,,,"2015-12-29 12:10:50",
024-000005664,173,"	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program",49828,64781,Awarded,"	7013",HSTS02-15-J-OIA079,HSHQDC-13-D-E2001,"	7001",HSTS02-15-R-OIA079,no,no,Yes,"PPT SOLUTIONS, INC.",,1.722496,,,,2020-09-27,,,,,,"2016-08-29 21:27:20",
024-000005666,174,"	024","Department of Homeland Security","TSA - Information Technology Infrastructure Program (ITIP)",33161,215491,Awarded,"	7013",HSTS0313ACIO549,GS35F4984H,"	7001",,no,no,Yes,"INTERNATIONAL BUSINESS MACHINE",,0.000000,,,,,,,,,,"2016-08-29 21:27:12",
024-000005666,174,"	024","Department of Homeland Security","TSA - Information Technology Infrastructure Program (ITIP)",33167,215490,Awarded,"	7013",HSTS0313ACIO547,GS35F4797H,"	4730",,no,no,Yes,"CGI FEDERAL INCORPORATED",,0.000000,,,,,,,,,,"2016-08-29 21:27:12",
024-000005666,174,"	024","Department of Homeland Security","TSA - Information Technology Infrastructure Program (ITIP)",45709,235487,Awarded,"	7013",HSTS0314JCIO302,HSHQDC13A00024,"	7001",,no,no,Yes,"ISYS, LLC",,17.008992,,N,2014-09-20,2019-09-19,N,"IGF::OT::IGF CELLULAR WIRELESS MANAGED SERVICES",223484,"	7013","	0","2015-09-17 15:12:26","2016-01-30 10:20:10"
024-000005666,174,"	024","Department of Homeland Security","TSA - Information Technology Infrastructure Program (ITIP)",48623,46426,Awarded,"	7013",HSTS0315JCIO656,HSTS0315JCIO656,"	7001",,no,no,No,,,,,,,,,,,,,"2015-09-17 15:12:26",
024-000005625,175,"	024","Department of Homeland Security","TSA - HAZMAT Threat Assessment Program (HAZMAT)",48885,18813,Awarded,"	7013",HSTS0212CTTC702,HSTS0212CTTC702,"	7013",,no,no,No,,,,,,,,,,,,,"2015-11-20 16:53:00",
024-000005625,175,"	024","Department of Homeland Security","TSA - HAZMAT Threat Assessment Program (HAZMAT)",50635,67414,Awarded,"	7013",HSTS02-16-J-OIA037,HSTS02-16-J-OIA043,"	7013",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:17:45",
024-000005625,175,"	024","Department of Homeland Security","TSA - HAZMAT Threat Assessment Program (HAZMAT)",51026,75571,Awarded,"	7013",HSTS01-16-F-OIA039,GS-06F-0645Z,"	7013",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:17:45",
024-000005632,178,"	024","Department of Homeland Security","TSA - FAMS Mission Scheduling and Notification System (MSNS)",28338,142363,Awarded,"	7013",HSTS03-12-J-CIO804,HSTS03-11-D-CIO556,"	7013",HSTS03-11-R-CIO556,no,no,Yes,"KNOWLEDGE CONSULTING GROUP, INC.",,0.696713,,,,2016-08-01,,,,,,"2016-08-29 21:17:39",
024-000005632,178,"	024","Department of Homeland Security","TSA - FAMS Mission Scheduling and Notification System (MSNS)",50301,66715,Awarded,"	7013",HSTS03-16-J-CIO581,HSHQDC-13-D-E2058,"	7013",HSTS07-15-R-00043,yes,no,Yes,"DEV TECHNOLOGY GROUP, INC.",,9.717991,,,,2020-12-23,,,,,,"2016-08-29 21:17:39",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",45247,224861,Awarded,"	7013",HSTS0314JOIA035,HSTS0313ACIO549,"	7013",,no,no,Yes,"INTERNATIONAL BUSINESS MACHINE",,10.331887,,,,2016-11-04,,,,,,"2016-06-28 20:28:51",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",46801,237867,Awarded,"	7013",HSTS0215JOIA049,HSTS0215DOIA049,"	7013",,no,no,Yes,"INFOZEN, INC.",,15.332263,,,,2019-11-27,,,,,,"2015-12-24 11:13:01",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",46871,238751,Awarded,"	7013",HSTS0313JCIO030,HSHQDC11A00040,"	7013",,no,no,Yes,ESCGOV,,45.418938,,,,2018-03-31,,,,,,"2016-04-27 11:39:53",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",48447,46154,Awarded,"	7013",HSTS0215JOIA385,HSHQDC13D00007,"	7013",,no,no,Yes,"FS VETS, LLP",,0.124706,,,,2015-08-30,,,,,,"2016-03-03 20:35:39",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",49696,60339,Awarded,"	7013",HSTS0315JOIA437,HSHQDC12D00017,"	7013",,no,no,Yes,"IMPRES TECHNOLOGY SOLUTIONS, INC.",,0.039864,,,,2016-08-31,,,,,,"2015-10-30 17:02:33",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",49697,60340,Awarded,"	7013",HSTS0215JOIA372,HSHQDC13D00025,"	7013",,no,no,Yes,"SNAP, INC.",,0.190032,,,,2016-09-10,,,,,,"2015-10-30 17:02:33",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",50637,68003,Awarded,"	7013",HSTS02-15-C-OIA095,N/A,"	7013",,no,no,No,,,,,,,,,,,,,"2016-04-27 11:39:53",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",50638,68004,Awarded,"	7013",HSTS02-16-J-OIA117,HSTS02-15-D-OIA049,"	7013",,no,no,No,,,,,,,,,,,,,"2016-04-27 11:39:53",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",50831,68404,Awarded,"	7013",HSTS02-15-C-OIA369,NA,"	7013",,no,no,No,,,,,,,,,,,,,"2016-05-27 11:36:14",
024-000005633,179,"	024","Department of Homeland Security","TSA - Transportation Vetting System",51033,76283,Awarded,"	7013",HSTS02-16-J-OIA124,HSHQDC-12-D-00015,"	7013",,no,no,No,,,,,,,,,,,,,"2016-08-29 21:18:43",
024-000005609,181,"	024","Department of Homeland Security","TSA - Performance Management Information System (PMIS)",19107,170032,Awarded,"	7013",HSTS0512FOOP002,GS35F0207W,"	4730",HSTS05-10-I-MED054,no,no,Yes,"GINIA INC",,10.002162,"Firm Fixed Price",N,2012-11-01,2017-04-30,N,"AMENDMENT 1:  06/18/12   AMENDEMENT OF PR TO REDUCE AMOUNT TO $1,200,000.00  PR IS FOR THE PROCUREMENT OF THE CONSULTING SERVICES OF THE PMIS PROGRAM.  ESTIMATED COST  INITIAL EFFORTS IS FOR 6 MONTHS OF SERVICES:  $1,226,000",223493,"	7013","	0","2015-09-17 14:25:28","2016-01-30 10:22:56"
024-000005609,181,"	024","Department of Homeland Security","TSA - Performance Management Information System (PMIS)",40927,227618,Awarded,"	7013",HSTS0314JPMI001,HSTS0313ACIO550,"	7013",HSTS03-14-Q-PMI001,no,no,Yes,"SOFT TECH CONSULTING INCORPORATED",,7.898164,,,,2016-08-31,,,,,,"2016-08-29 21:18:30",
024-000005609,181,"	024","Department of Homeland Security","TSA - Performance Management Information System (PMIS)",40929,228176,Awarded,"	7013",HSTS0314JPMI008,HSHQDC13D00002,"	7013",,no,no,Yes,"THUNDERCAT TECHNOLOGY, LLC",,3.146659,"Firm Fixed Price",N,2014-06-18,2017-06-17,N,"IGF::CL::IGF  THE PURPOSE OF THE PR IS FOR THE ADDITIONAL  PROCUREMENT OF MICROSTRATEGY LICENSE.  ADDITIONAL LICENSE OF 2 PROD UNRESTRICTED CPU, 6 DEV UNRESTRICTED CPU AND HOT FAIL OVER CAPABILITY FOR ALL PROD CPU (TOTAL OF 6)  TOTAL AMOUNT OF THE PR IS: $1,510,000.00  ADDITIONAL LICENSE WILL ALLOW OSO TO BUILD A ROBUST BUISNESS INTELLIGENCE TOOL.",223496,"	7013","	0","2015-09-17 14:25:28","2016-01-30 10:24:24"
024-000005609,181,"	024","Department of Homeland Security","TSA - Performance Management Information System (PMIS)",47027,239530,Awarded,"	7013",HSTS0313JPMI017,HSTS0311DCIO556,"	7013",,no,no,Yes,"KNOWLEDGE CONSULTING GROUP, INC.",,0.668019,,,,2016-08-01,,,,,,"2016-05-25 11:22:04",
024-000005609,181,"	024","Department of Homeland Security","TSA - Performance Management Information System (PMIS)",50636,68088,Awarded,"	7013",HSTS03-15-J-CIO575,HSTS0313ACIO549,"	7013",,no,no,No,,,,,,,,,,,,,"2016-04-27 11:39:48",
009-000001422,184,"	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)",21212,15285,Awarded,"	7555",HHSP233201175055W,26301D0054,"	7530",11-233-SPL-00181,yes,yes,Yes,"LOCKHEED MARTIN SERVICES INC",,85.598980,,,,2016-08-19,,,,,,"2015-09-29 13:49:29",
009-000001422,184,"	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)",48947,351990,Awarded,"	7555","HHSP233201500080W ","HHSN316201200050W ","	7529",15-233-SOL-00144,yes,yes,Yes,"SRA INTERNATIONAL, INC.",,8.544654,,,,2020-08-08,,,,,,"2015-09-29 13:49:29",
009-000001462,186,"	009","Department of Health and Human Services","ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence",26189,319728,Awarded,"	1406",IND12PD01821,GS35F0239K,"	4730",12PS00433,yes,yes,Yes,"RNSOLUTIONS INCORPORATED",D12PS00433,139.818187,"Time and Materials",N,2012-09-17,2016-11-15,N,"HHS-ACF GRANTS CENTER FOR EXCELLENCE - IT SUPPORT AND GRANTS MANGEMENT SUPPORT",225066,"	1406","	0","2016-02-05 16:28:15","2016-02-06 08:11:18"
009-000001424,187,"	009","Department of Health and Human Services","AHRQ Medical Expenditures Panel Survey (MEPS)",34409,328786,Awarded,"	7528",HHSA290201200005C,,,AHRQ-12-10008,no,yes,Yes,"WESTAT, INC.",,95.822685,,,,2018-12-31,,,,,,"2015-09-15 14:07:23",
009-000001424,187,"	009","Department of Health and Human Services","AHRQ Medical Expenditures Panel Survey (MEPS)",34411,328787,Awarded,"	7528",HHSA290201300007C,,,AHRQ-13-10001,no,yes,Yes,"RESEARCH TRIANGLE INSTITUTE",,33.581616,,,,2018-06-30,,,,,,"2015-09-15 14:07:55",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",22251,147277,Awarded,"	7008","Tower Leases (ACI)","Tower Leases (ACI)","	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2015-09-17 19:39:29",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",22252,147280,Awarded,"	7008",HSCG23-11-C-ANS104,HSCG23-11-C-ANS104,"	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2016-08-29 21:17:47",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",22253,147282,Awarded,"	7008","Tower Leases (OE)","Tower Leases (OE)","	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2015-09-17 19:39:29",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",22254,147288,Awarded,"	7008","Circuits, Networks & Spectrum",N/A,"	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2015-09-17 19:39:29",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",28253,147281,Awarded,"	7008",HSCG23-12-J-AAK146,HSCG23-12-J-AAK146,"	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2015-09-17 19:39:29",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",33221,204453,Awarded,"	7008",HSSS0112D0006,HSCG2313JAAK060,"	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2015-06-18 17:02:04",
024-000006079,193,"	024","Department of Homeland Security","USCG - Rescue 21",35893,147287,Awarded,"	7008",HSSS0112D0005,HSCG2313JANS008,"	7008","N/A See Q5 comment",no,no,No,,,,,,,,,,,,,"2015-06-18 17:02:03",
